"Nome.Pa","Cultura","Freq"
"PA 17 DE ABRIL","Sorgo",2
"PA BOM JARDIM","Sorgo",0
"PA COLONIA S. JOSE DO XINGU","Sorgo",0
"PA CONCEIÇÃO","Sorgo",0
"PA CUPÚ","Sorgo",0
"PA LINDOESTE","Sorgo",0
"PA MATA VERDE","Sorgo",0
"PA PE JOSIMO TAVARES","Sorgo",8
"PA RIO CINZA","Sorgo",0
"PA TANCREDO NEVES","Sorgo",0
"PA VOLTA DO TAPIRAPÉ","Sorgo",0
"PA 17 DE ABRIL","Tangerina",1
"PA BOM JARDIM","Tangerina",0
"PA COLONIA S. JOSE DO XINGU","Tangerina",0
"PA CONCEIÇÃO","Tangerina",0
"PA CUPÚ","Tangerina",0
"PA LINDOESTE","Tangerina",0
"PA MATA VERDE","Tangerina",0
"PA PE JOSIMO TAVARES","Tangerina",0
"PA RIO CINZA","Tangerina",0
"PA TANCREDO NEVES","Tangerina",0
"PA VOLTA DO TAPIRAPÉ","Tangerina",0
